i,j,R_min,R_max,R_avg
1.0,2.0,0.125112,0.127604,0.1262691
1.0,3.0,1.407226,1.43027,1.4204113500000002
1.0,4.0,0.12796,0.129977,0.12882194999999996
1.0,5.0,0.10415,0.105326,0.10471839999999999
1.0,6.0,0.123688,0.126126,0.1254356
1.0,7.0,0.507946,0.539933,0.517296
1.0,8.0,0.187695,0.209552,0.1975829
2.0,3.0,-0.000324,0.001478,0.00035335
2.0,3.0,0.185559,0.188838,0.18619159999999998
2.0,4.0,0.093297,0.09676,0.09500395000000002
2.0,5.0,0.09005,0.091657,0.09065575000000001
2.0,6.0,0.08581,0.087418,0.08647409999999998
2.0,7.0,0.257139,0.269513,0.26141575
2.0,8.0,0.157973,0.170563,0.1615634
3.0,4.0,0.247311,0.249598,0.24803384999999997
3.0,5.0,0.227925,0.231733,0.22960695000000003
3.0,6.0,0.295427,0.318179,0.30579835
3.0,7.0,0.356467,0.37101,0.36155435
3.0,8.0,0.218614,0.223998,0.22042889999999998
4.0,5.0,0.098346,0.099824,0.09891645
4.0,6.0,0.244981,0.262933,0.25263359999999996
4.0,7.0,0.18106,0.187727,0.18338715
4.0,8.0,0.07349,0.076036,0.07412040000000002
5.0,6.0,0.217794,0.225325,0.22112344999999997
5.0,7.0,0.174911,0.181006,0.17653069999999998
5.0,8.0,0.329809,0.375109,0.34279885
6.0,7.0,0.349703,0.357848,0.3531509
6.0,8.0,0.375951,0.395391,0.3845835999999999
7.0,8.0,0.207211,0.210534,0.20851414999999998

