i,j,R_avg,R_min,R_max
h_1,h_2,680.0582274999999,680.05769,680.05898
h_1,a_1,883.7402314999999,883.72702,883.74517
h_1,a_3,787.727573,787.71577,787.73306
h_1,a_4,786.4092014999999,786.4027,786.42334
h_1,a_4_2,785.5592220000001,785.55375,785.56434
h_2,a_1,640.7707334999998,640.69785,640.82038
h_2,a_3,434.75695750000006,434.60021,434.95807
h_2,a_4,432.39993599999997,432.29884,432.44503
h_2,a_4_2,432.0813,432.05659,432.10683
a_3,a_4,168.4193895,168.41848,168.42043
a_3,a_4_2,166.48746300000002,166.48653,166.48815
