position;temperature
0;0.288485054
0.046765801;0.288488076
0.062405407;0.28849012
0.078215246;0.288492711
0.133880813;0.288506048
0.188946999;0.288525694
0.205345243;0.288532733
0.221814452;0.288540545
0.276858234;0.288571134
0.331457027;0.288608375
0.348361054;0.288621297
0.365402851;0.288634992
0.419863874;0.288683243
0.473792343;0.288738514
0.491184658;0.288758386
0.508689201;0.288779395
0.562505442;0.288850319
0.615976646;0.288930256
0.633760553;0.288958754
0.652562569;0.288990484
0.704550962;0.289085913
0.750879323;0.289180237
0.775634734;0.289234227
0.803414565;0.289297787
0.846718506;0.289403142
0.889344474;0.289515366
0.923772108;0.289615944
0.960906742;0.289734385
1.00082571;0.289873231
1.037834708;0.29001262
1.076962802;0.290169426
1.119137727;0.290357251
1.158327815;0.290550876
1.199986178;0.290775384
1.239081867;0.2910036
1.27586112;0.291233778
1.31983592;0.291528694
1.35624276;0.291796147
1.382896098;0.292015386
1.40809818;0.292240911
1.445956277;0.292612981
1.485994425;0.293049967
1.51024619;0.293332153
1.530526212;0.293594362
1.553146866;0.293898728
1.579374056;0.294282842
1.597693548;0.29457103
1.6282219;0.295087619
1.64224023;0.29534005
1.65399595;0.295564548
1.670446461;0.295901198
1.694959574;0.296451525
1.698652692;0.296539487
1.706818072;0.296738663
1.724982382;0.29719923
1.735020779;0.297477841
1.747396036;0.29783237
1.75727362;0.298133778
1.771627655;0.298600951
1.77952646;0.298872769
1.795859275;0.299468013
1.801140997;0.299677327
1.809875103;0.300033194
1.815694564;0.300282937
1.824967696;0.300701769
1.830248131;0.300951728
1.840060289;0.301438293
1.844969944;0.301698803
1.851340475;0.302048032
1.855021754;0.302259023
1.862361652;0.302699787
1.865073563;0.302869405
1.87338283;0.303411846
1.874807986;0.303510327
1.880627864;0.30392139
1.881515816;0.303986636
1.881761807;0.304004816
1.888507637;0.304521139
1.89069059;0.304695563
1.895499458;0.305092469
1.900169032;0.30550231
1.901176109;0.305593113
1.903600856;0.305816608
1.906851508;0.306127026
1.90820161;0.306259588
1.912526907;0.306698641
1.916175072;0.307089136
1.91689648;0.307168926
1.917788225;0.307268729
1.921266053;0.307670358
1.924079564;0.308009708
1.925655613;0.308207463
1.927644702;0.308460943
1.929288547;0.308678998
1.930794273;0.308883982
1.933088584;0.309205976
1.935593347;0.309570816
1.936888621;0.309764934
1.938074308;0.309947324
1.939750595;0.310213105
1.940837431;0.310390386
1.942612569;0.31068833
1.945350461;0.311168273
1.945476273;0.311191071
1.945554717;0.31120514
1.947616209;0.31158728
1.949108987;0.311875053
1.94976667;0.312004786
1.950774159;0.312207016
1.951917131;0.312441562
1.952421617;0.312547034
1.953382489;0.312752148
1.954824797;0.313070435
1.954858053;0.313077922
1.955324932;0.313183597
1.956972211;0.313564658
1.95704905;0.313582769
1.957401199;0.313666321
1.95853218;0.313940726
1.958778961;0.314001832
1.96001531;0.314314597
1.96059724;0.314466348
1.961892689;0.314811185
1.962440508;0.314959924
1.963578917;0.31527743
1.96424392;0.315468874
1.965186384;0.31574774
1.966062136;0.316013465
1.966936377;0.316285028
1.967846306;0.316574334
2.014013693;0.315929219
2.015268596;0.315526134
2.01556959;0.315431615
2.016086572;0.315271137
2.017151095;0.314947828
2.017867994;0.314735253
2.019294809;0.314321066
2.020667847;0.313941446
2.021720176;0.313658931
2.023185064;0.313277844
2.024145542;0.313035675
2.02570228;0.31265612
2.026434916;0.312480435
2.027532432;0.312226686
2.029320144;0.311822696
2.031520235;0.311346528
2.032227581;0.311198361
2.032802345;0.311079732
2.035135019;0.310614516
2.036580381;0.310336295
2.037559584;0.310151796
2.039845701;0.309733599
2.040048316;0.309697383
2.040645438;0.309591336
2.043596609;0.309082215
2.044185196;0.308983801
2.045502219;0.308767051
2.046978457;0.308529789
2.047638199;0.308425699
2.049771717;0.308097311
2.052428323;0.307703715
2.054504773;0.307405051
2.058055425;0.306912601
2.059169576;0.306762328
2.060624841;0.30656968
2.06362942;0.306184945
2.065486485;0.305956299
2.069868725;0.305433783
2.071843498;0.305206143
2.07610803;0.304731133
2.078200511;0.304506348
2.08361032;0.303943439
2.085856352;0.303720491
2.092518202;0.303083625
2.093178034;0.303022533
2.096223729;0.30274518
2.100499717;0.302368669
2.10140908;0.302290018
2.109748748;0.30159423
2.11015345;0.301561635
2.118685264;0.300897591
2.121054096;0.300719888
2.12760748;0.300243368
2.13129212;0.299984002
2.136855416;0.299603426
2.140531257;0.29935925
2.149596059;0.298780575
2.152965651;0.298571924
2.164640796;0.297876043
2.165219491;0.297842419
2.165608998;0.297819849
2.174696927;0.297307185
2.189589068;0.296522348
2.196668096;0.296163122
2.215572657;0.295247546
2.218639265;0.295105025
2.235431373;0.294354302
2.240102914;0.294155659
2.240810067;0.29412485
2.242913418;0.29403667
2.267872901;0.293018377
2.275763817;0.29271034
2.295128877;0.29198268
2.311636741;0.291394127
2.322384853;0.291026629
2.332098902;0.290701039
2.34483996;0.29028243
2.364520537;0.289654645
2.367295067;0.289567979
2.373546226;0.28937438
2.38898491;0.288908032
2.409286102;0.288314334
2.422495335;0.28793662
2.427065068;0.287807831
2.452425312;0.287110677
2.467349321;0.286714336
2.482355289;0.286326219
2.522269112;0.285319672
2.541523669;0.284850019
2.564013017;0.284314402
2.592337655;0.283659644
2.616588174;0.283116636
2.643151641;0.282540439
2.690448132;0.281547427
2.721443839;0.280910622
2.748514576;0.2803635
2.799736037;0.279351346
2.858384067;0.278229517
2.878256952;0.277859223
2.893992574;0.277569218
2.954470665;0.276471316
3.023377727;0.275254149
3.030917571;0.275123148
3.037535114;0.275008526
3.107364478;0.273819228
3.180906002;0.272592601
3.181656647;0.272580182
3.182465848;0.272566797
3.255948816;0.271361283
3.324114283;0.270260627
3.330257228;0.270162213
3.336687057;0.270059518
3.403950714;0.268990945
3.468021834;0.267984013
3.477674029;0.267833245
3.487807173;0.267675224
3.551397343;0.266689655
3.612321097;0.265751799
3.624761378;0.265560781
3.637540383;0.265364735
3.698125412;0.264437654
3.757104556;0.263538912
3.771444228;0.263320968
3.785992077;0.263100101
3.844573836;0.262211641
3.902526453;0.261334528
3.917751918;0.261104389
3.933142673;0.260871877
3.97;0.260315579
